occupation,total_climbers,disabled_climbers,successful_climbs,solo_climbers,claimed_success,disputed_climbs
,30737,21,18170,23,35,42
Alpine guide,6282,6,2674,21,10,8
Physician,2360,0,578,3,2,1
Engineer,1628,0,549,2,0,3
Student,1074,1,401,3,1,0
Alpinist,907,20,414,6,4,4
Teacher,682,0,216,0,0,1
Attorney,612,2,203,1,0,2
Photographer,427,1,115,0,0,1
Alpine instructor,403,0,157,1,1,0
Mechanical engineer,389,0,105,1,0,0
Businessman,384,2,151,0,0,0
Carpenter,377,1,126,2,0,1
Electrician,372,0,113,3,0,0
Electrical engineer,369,0,111,0,0,1
Office worker,362,3,100,1,0,2
Civil engineer,361,0,108,0,0,2
Technician,354,0,102,0,0,0
Nurse,347,0,98,0,0,0
Architect,346,0,112,0,0,0
Firefighter,294,0,80,0,0,0
Cameraman,283,0,57,0,1,0
Geologist,267,0,73,0,0,1
Housewife,236,0,80,0,2,1
Journalist,226,0,53,0,0,1
Police officer,221,0,74,0,0,0
Accountant,218,0,72,0,0,0
Mechanic,213,0,49,0,0,1
Farmer,204,0,59,0,0,1
Economist,203,1,69,2,0,2
Retired,196,1,54,0,0,0
Banker,196,0,70,0,0,1
Dentist,194,0,60,0,0,0
Ski instructor,188,0,51,3,0,0
Physiotherapist,180,0,54,0,0,0
Professional alpinist,172,0,84,3,0,0
Electronics engineer,167,0,43,0,1,1
Computer programmer,167,0,43,1,0,0
University student,159,0,52,1,0,0
Computer engineer,158,0,53,0,0,0
Civil servant,153,0,48,0,0,0
Surgeon,150,0,29,0,0,0
Salesman,135,0,36,0,0,0
Manager,135,1,64,0,0,0
Physicist,132,0,33,0,0,1
Software engineer,121,0,48,0,0,0
Secretary,114,0,18,0,0,0
Alpine guide & ski instructor,114,0,30,1,0,1
Chemical engineer,113,0,32,0,0,0
Builder,109,0,40,0,0,1
Pharmacist,107,0,30,0,0,0
Film-maker,106,0,29,0,0,0
Clerk,106,0,20,0,0,0
Truck driver,105,0,32,0,0,0
Construction worker,104,0,35,0,0,0
Travel agent,103,0,32,0,0,0
Bank employee,102,0,20,0,0,0
Management consultant,101,0,35,0,0,0
Expedition leader,99,0,36,1,0,0
Construction engineer,99,0,31,0,0,0
High school teacher,96,0,25,0,0,0
Consultant,94,0,50,0,0,0
Shopkeeper,91,0,20,0,0,0
Medical student,89,0,19,0,0,0
Sports instructor,88,0,35,0,0,0
Biologist,88,0,25,0,0,0
Pilot,87,0,38,0,0,0
Gardener,82,1,28,0,2,0
Psychologist,81,0,28,0,0,0
Plumber,81,1,23,0,0,0
Veterinarian,80,0,29,0,0,0
Forester,79,0,21,0,0,0
Trekking guide,78,0,32,0,0,0
Business owner,78,2,30,0,0,0
Worker on tall buildings,76,0,13,0,0,0
Surveyor,75,0,18,0,0,0
School teacher,75,0,27,0,1,0
Chemist,75,0,18,0,0,0
Writer,72,0,17,2,0,0
Social worker,72,0,26,0,0,0
High-altitude porter,72,0,47,0,0,2
Restaurant owner,71,0,17,0,0,0
IT consultant,70,0,22,0,0,0
Real estate agent,68,0,22,0,0,0
Expedition organizer & leader,68,0,13,0,0,0
Factory worker,64,0,12,0,0,0
Computer operator,64,0,13,0,0,0
Company director,63,0,21,0,0,0
Tour operator,62,0,23,1,0,0
Employee,62,0,13,0,1,0
Electrical technician,61,0,17,0,0,0
Artist,61,0,11,0,0,0
Airline pilot,61,1,29,0,0,0
House painter,60,0,20,0,0,0
Physician (surgeon),59,0,15,0,0,0
Cook,59,0,8,0,0,0
Business consultant,59,0,26,0,0,0
Sports teacher,57,0,21,0,1,0
Building contractor,57,0,18,0,0,0
Primary school teacher,56,0,15,0,0,0
Metallurgical engineer,55,0,21,0,0,0
Construction company manager,55,0,22,0,0,0
Soldier,54,0,27,0,0,0
Sales manager,54,0,21,0,0,0
Physical education teacher,54,0,19,0,0,0
Driver,54,0,11,0,0,0
Retired engineer,53,0,18,0,0,0
Electronics technician,53,0,11,0,0,0
Financial advisor,52,0,21,0,0,0
Graphic designer,51,0,11,0,0,0
Army officer,51,0,17,0,0,0
UAE Armed Forces,50,0,12,0,0,0
