peak_name,total_climbers,disabled_climbers,successful_climbs,solo_climbers,claimed_success,disputed_climbs
Everest,25274,58,12712,13,18,16
Ama Dablam,11185,8,6204,20,0,2
Cho Oyu,9141,13,4002,17,22,18
Manaslu,6537,6,2806,4,1,0
Lhotse,3292,7,1363,4,2,7
Dhaulagiri I,2962,4,690,10,6,12
Makalu,2757,5,795,8,13,3
Baruntse,2418,0,690,2,6,1
Himlung Himal,2033,2,900,3,0,0
Annapurna I,1959,4,512,4,6,8
Pumori,1837,4,536,7,0,1
Kangchenjunga,1620,1,573,5,4,4
Annapurna IV,868,0,138,1,0,6
Putha Hiunchuli,856,2,357,0,0,0
Tilicho,708,0,149,0,0,1
Tukuche,473,0,114,2,4,3
Langtang Lirung,344,0,54,0,0,0
Makalu II,325,0,81,2,0,0
Jannu,321,0,77,1,0,1
Nuptse,281,0,38,0,0,0
Annapurna III,278,0,34,1,0,0
Lhotse Shar,276,0,24,0,0,0
Himalchuli East,246,0,27,0,0,0
Kang Guru,239,0,80,1,0,0
Annapurna South,233,0,35,2,0,0
Annapurna II,224,0,16,0,0,2
Dorje Lhakpa,211,0,80,0,0,0
Yalung Kang,206,0,53,0,0,0
Gaurishankar,201,0,6,0,0,0
Gangapurna,188,0,41,0,0,0
Gyajikang,182,0,67,0,0,0
Bhrikuti,174,0,55,0,0,10
Kangtega,163,0,49,0,0,2
Glacier Dome,154,0,46,0,0,0
Ratna Chuli,150,0,42,0,0,0
Nemjung,141,0,8,0,0,0
Cholatse,139,0,63,1,0,0
Api Main,137,0,23,0,0,0
Changtse,136,0,52,1,1,0
Chamlang,135,0,22,1,0,0
Dhaulagiri II,131,0,25,0,0,0
Saipal,129,0,18,1,0,0
Dhaulagiri IV,129,0,13,0,0,0
Dhampus,128,0,81,0,0,0
Tawoche,118,0,37,1,0,0
Gyachung Kang,113,0,26,0,0,0
Tengkangpoche,110,0,18,1,0,0
Saribung,110,0,79,0,0,0
Ganchenpo,110,1,32,0,0,0
Numbur,108,0,28,0,0,0
Gimmigela Chuli,106,0,25,0,0,0
Peak 29,104,0,2,0,2,0
Churen Himal West,103,0,14,0,0,0
Kotang,100,0,19,0,0,0
Dolma Khang,100,0,36,0,0,0
Nilgiri North,98,0,26,0,0,0
Tashi Kang,96,0,33,0,0,0
Nepal Peak,95,0,9,0,0,0
Gurja Himal,95,0,30,0,0,2
Urkema,94,0,52,0,0,0
Mukut Himal,92,0,22,0,0,0
Manaslu North,92,0,20,0,0,5
Langshisa Ri,91,0,30,2,0,0
Lamjung Himal,91,0,41,0,0,0
Kangbachen,89,0,15,0,0,0
Fang,87,0,6,0,0,0
Kirat Chuli,85,0,3,0,0,0
Thamserku,81,0,18,0,0,0
Ganesh IV,81,0,22,0,0,0
Kusum Kanguru,78,0,28,4,0,0
Ganesh II,77,0,9,0,0,0
Kabru Dome,75,0,31,0,2,0
Bhrikuti Shail,74,0,55,0,0,0
Tengkoma,72,0,43,0,0,0
Leonpo Gang,71,0,18,0,0,0
Roc Noir,70,0,19,0,0,0
Gaugiri,70,0,14,0,0,0
Ganesh I,69,0,3,0,0,0
Churen Himal East,67,0,4,0,0,2
Pasang Lhamu Chuli,66,0,25,0,0,0
Talung,65,0,8,0,0,0
Nuptse West II,63,0,25,0,0,0
Pyramid Peak,61,0,12,0,0,0
Kanjiroba South,61,0,22,0,0,0
Kangchenjunga South,61,0,27,0,0,0
Hungchhi,61,0,16,0,0,0
Ngojumba Kang I,60,0,7,0,0,0
Langtang Ri,60,0,20,0,0,0
Norbu Kang,59,0,14,0,0,0
Khatung Khang,59,0,13,0,0,0
Dhaulagiri V,59,0,19,0,0,0
Panbari,57,0,9,0,0,0
Kangchenjunga Central,57,0,25,0,0,0
Rathong,56,0,24,0,0,0
Khatang,56,0,24,0,0,0
Dhaulagiri VI,56,0,22,0,0,0
